cuisine_id,ingredient_id,weight
1,1,100
1,2,200
1,3,200
1,4,30
1,5,50
1,6,50
2,7,100
2,2,200
2,3,200
2,8,5
2,9,5
2,10,3
2,11,10
2,12,10
3,13,50
3,14,150
3,15,200
3,16,200
4,17,200
4,18,200
4,19,80
4,20,80
4,21,10
4,22,10
4,23,10
4,24,10
4,8,5
4,9,5
4,25,10
4,26,10
5,2,200
5,3,200
5,15,40
5,16,40
5,27,40
5,28,40
5,29,40
5,30,40
5,31,10
5,32,10
5,33,5
5,34,5
5,11,10
5,12,10
5,35,5
5,36,5
6,37,250
6,38,250
6,39,50
6,40,50
6,41,50
6,42,50
6,43,20
6,44,20
6,45,1
6,46,1
6,47,100
6,48,100
7,49,150
7,50,5
8,51,150
8,33,10
8,34,10
8,2,200
8,3,200
8,52,50
8,8,5
8,9,5
9,2,200
9,3,200
9,53,50
9,33,5
9,34,5
9,2,10
9,3,10
10,54,100
10,55,100
10,56,5
10,23,200
10,24,200
11,57,120
11,5,3
11,6,3
11,58,15
11,59,10
11,60,5
11,61,10
11,62,10
11,19,10
11,20,10
12,54,150
12,63,50
12,11,20
12,12,20
12,5,30
12,6,30
13,64,200
13,65,50
13,66,80
13,67,5
13,61,10
13,62,10
14,33,5
14,34,5
14,2,200
14,3,200
14,68,30
14,39,30
14,40,30
14,69,40
14,70,20
15,2,200
15,3,200
15,71,100
15,39,30
15,40,30
15,60,20
15,72,20
16,73,100
16,74,30
16,4,50
16,65,30
17,75,160
17,73,50
17,76,40
18,77,150
18,29,10
18,30,10
18,11,10
18,12,10
19,78,150
19,79,30
19,80,10
19,81,5
19,82,5
19,39,20
19,40,20
20,29,100
20,30,100
20,83,10
20,81,10
20,82,10
20,31,50
20,32,50
21,84,100
21,85,50
21,86,20
21,87,20
21,88,10
21,11,10
21,12,10
22,89,150
22,41,50
22,42,50
22,90,10
22,2,200
22,3,200
22,11,10
22,12,10
23,91,100
23,2,200
23,3,200
23,92,10
23,11,10
23,12,10
24,93,30
24,54,100
24,90,10
24,11,10
24,12,10
25,94,50
25,63,100
25,95,5
25,52,50
26,96,3
26,61,10
26,62,10
27,97,50
27,98,50
27,99,30
27,100,30
27,101,30
27,102,30
27,39,20
27,40,20
27,11,10
27,12,10
27,37,10
27,38,10
28,103,50
28,104,50
28,60,50
28,97,10
28,98,10
29,11,20
29,12,20
29,92,10
29,14,150
29,81,10
29,82,10
30,105,20
30,106,10
30,31,50
30,32,50
31,107,150
31,108,20
31,5,2
31,6,2
31,109,1
31,17,10
31,18,10
31,61,10
31,62,10
32,110,120
32,5,3
32,6,3
32,29,3
32,30,3
32,23,20
32,24,20
33,111,50
33,41,50
33,42,50
33,112,50
33,33,10
33,34,10
34,113,150
34,90,10
34,114,20
34,5,3
34,6,3
34,11,15
34,12,15
34,39,10
34,40,10
35,2,100
35,3,100
35,33,5
35,34,5
35,21,10
35,22,10
36,25,150
36,26,150
36,11,20
36,12,20
36,35,30
36,36,30
36,81,100
36,82,100
36,5,100
36,6,100
37,115,200
37,5,3
37,6,3
37,109,1
37,54,50
37,60,30
38,116,100
38,117,120
38,114,10
39,78,300
39,118,30
39,80,10
39,81,10
39,82,10
39,79,50
40,25,100
40,26,100
40,119,30
40,120,5
40,2,10
40,3,10
41,121,120
41,122,50
41,8,10
41,9,10
42,123,120
42,92,10
42,81,5
42,82,5
42,124,2
42,5,2
42,6,2
42,125,10
43,126,250
43,81,10
43,82,10
43,10,10
43,21,20
43,22,20
43,114,30
43,5,5
43,6,5
44,127,100
44,128,25
44,81,5
44,82,5
45,129,30
45,130,50
45,131,20
45,21,10
45,22,10
46,132,300
46,90,20
46,133,1
46,134,1
46,10,10
46,11,30
46,12,30
47,135,200
47,81,10
47,82,10
47,56,5
47,90,10
47,11,10
47,12,10
48,136,250
48,90,20
48,133,1
48,10,10
48,114,20
48,11,30
48,12,30
49,137,30
49,14,150
49,138,50
49,17,30
49,18,30
49,139,30
50,119,50
50,14,150
50,41,30
50,42,30
50,140,10
50,139,10
50,8,100
50,9,100
51,141,200
51,11,20
51,12,20
51,81,10
51,82,10
51,90,10
52,142,150
52,143,30
52,33,5
52,34,5
52,50,3
52,11,10
52,12,10
52,35,5
52,36,5
53,144,200
53,5,3
53,6,3
53,109,1
53,81,10
53,82,10
53,145,5
54,141,100
54,73,50
54,146,30
54,63,20
55,147,80
55,63,30
55,148,5
55,2,150
55,3,150
55,41,30
55,42,30
56,149,100
56,150,10
56,96,3
56,61,10
56,62,10
57,136,200
57,21,20
57,22,20
57,81,10
57,82,10
57,90,10
57,39,10
57,40,10
58,151,180
58,152,30
58,52,50
58,153,5
58,45,5
58,46,5
59,49,150
59,41,50
59,42,50
59,154,30
60,25,100
60,26,100
60,155,30
60,71,100
60,31,20
60,32,20
61,103,100
61,65,50
61,4,50
61,156,10
61,41,30
61,42,30
61,157,3
62,158,100
62,156,10
62,41,50
62,42,50
62,157,3
63,73,50
63,159,80
63,68,30
63,35,5
63,36,5
64,160,100
64,56,5
64,41,30
64,42,30
64,41,20
64,42,20
64,43,50
64,44,50
64,37,10
64,38,10
65,161,50
65,73,50
65,2,200
65,3,200
65,92,10
66,75,160
66,65,50
66,162,20
66,61,10
66,62,10
67,54,150
67,96,3
67,61,10
67,62,10
67,45,5
67,46,5
68,130,100
68,163,10
68,164,10
68,2,10
68,3,10
69,165,180
69,58,30
69,166,50
69,45,5
69,46,5
70,51,150
70,96,3
70,39,30
70,40,30
70,27,100
70,28,100
71,54,150
71,41,30
71,42,30
71,5,100
71,6,100
71,45,5
71,46,5
72,167,100
72,168,10
72,169,20
72,108,10
72,45,5
72,46,5
73,170,15
73,171,10
73,31,100
73,32,100
74,25,150
74,26,150
74,11,20
74,12,20
74,4,30
74,31,50
74,32,50
75,33,10
75,34,10
75,5,1
75,6,1
75,99,5
75,100,5
76,172,150
76,173,50
76,56,5
77,174,40
77,21,10
77,22,10
77,81,10
77,82,10
77,23,5
77,24,5
78,175,30
78,75,160
78,67,5
78,81,10
78,82,10
79,61,160
79,62,160
79,81,15
79,5,5
79,47,2
